price,bed,bath,acre_lot,street,city,state,zip_code,house_size
69900.0,3.0,3.0,0.23,1857025.0,Utuado,Puerto Rico,641.0,1326.0
330000.0,3.0,2.0,0.97,1757696.0,Hatillo,Puerto Rico,659.0,2111.0
145000.0,3.0,2.0,0.37,1922060.0,Ponce,Puerto Rico,716.0,1296.0
135000.0,3.0,2.0,0.37,466228.0,Carolina,Puerto Rico,987.0,1248.0
69500.0,3.0,1.0,0.04,1308651.0,Camuy,Puerto Rico,627.0,1460.0
135000.0,4.0,3.0,0.24,1856515.0,Camuy,Puerto Rico,627.0,1500.0
74000.0,3.0,1.0,0.38,1902878.0,Camuy,Puerto Rico,627.0,900.0
109000.0,3.0,1.0,1.94,1898056.0,Camuy,Puerto Rico,627.0,1400.0
168100.0,3.0,3.0,0.13,1239373.0,Camuy,Puerto Rico,627.0,1300.0
110000.0,3.0,1.0,0.1,1855935.0,Camuy,Puerto Rico,627.0,800.0
130000.0,3.0,2.0,0.1,1946163.0,Sabana Grande,Puerto Rico,637.0,1290.0
300000.0,8.0,4.0,0.45,1946165.0,Sabana Grande,Puerto Rico,637.0,2852.0
54900.0,5.0,2.0,1.21,1007137.0,Sabana Grande,Puerto Rico,637.0,1898.0
250000.0,2.0,1.0,0.2,212525.0,Sabana Grande,Puerto Rico,637.0,1275.0
435000.0,3.0,3.0,0.36,2396.0,Sabana Grande,Puerto Rico,637.0,20132.0
89000.0,3.0,2.0,1.17,603617.0,Ciales,Puerto Rico,638.0,1000.0
275000.0,3.0,2.0,1.48,370572.0,Ciales,Puerto Rico,638.0,1820.0
65000.0,3.0,2.0,0.1,1837550.0,Ciales,Puerto Rico,638.0,1100.0
225000.0,4.0,3.0,2.23,1902765.0,Ciales,Puerto Rico,638.0,3344.0
98000.0,3.0,1.0,1.16,1902892.0,Ciales,Puerto Rico,638.0,1100.0
55000.0,3.0,2.0,0.09,654886.0,Ciales,Puerto Rico,638.0,1092.0
65000.0,3.0,2.0,0.09,1908246.0,Ciales,Puerto Rico,638.0,1100.0
106700.0,3.0,2.0,0.97,332814.0,Utuado,Puerto Rico,641.0,1205.0
180000.0,3.0,2.0,10.44,130075.0,Utuado,Puerto Rico,641.0,1251.0
550000.0,6.0,3.0,28.17,1946165.0,Utuado,Puerto Rico,641.0,5000.0
70000.0,2.0,1.0,0.22,1395377.0,Utuado,Puerto Rico,641.0,845.0
198500.0,4.0,2.0,2.91,1902820.0,Utuado,Puerto Rico,641.0,1000.0
75000.0,5.0,3.0,0.1,569131.0,Utuado,Puerto Rico,641.0,950.0
219900.0,4.0,2.0,2.06,1902833.0,Utuado,Puerto Rico,641.0,1100.0
95000.0,3.0,2.0,0.86,1856897.0,Utuado,Puerto Rico,641.0,1700.0
99000.0,13.0,4.0,0.2,655097.0,Utuado,Puerto Rico,641.0,600.0
75000.0,3.0,1.0,0.28,1946304.0,Utuado,Puerto Rico,641.0,781.0
600000.0,6.0,3.0,30.0,1946303.0,Utuado,Puerto Rico,641.0,5000.0
120000.0,3.0,1.0,0.26,1946327.0,Utuado,Puerto Rico,641.0,781.0
108000.0,4.0,1.0,0.94,1670695.0,Utuado,Puerto Rico,641.0,13818.0
750000.0,3.0,3.0,0.24,1563413.0,Dorado,Puerto Rico,646.0,2377.0
550000.0,3.0,3.0,0.16,1858417.0,Dorado,Puerto Rico,646.0,2000.0
950000.0,4.0,3.0,0.14,1559180.0,Dorado,Puerto Rico,646.0,2850.0
1150000.0,5.0,3.0,0.14,1561183.0,Dorado,Puerto Rico,646.0,3500.0
5500000.0,3.0,2.0,0.24,1052081.0,Dorado,Puerto Rico,646.0,2000.0
995000.0,4.0,3.0,0.25,1647493.0,Dorado,Puerto Rico,646.0,2900.0
595000.0,2.0,2.0,0.37,1940276.0,Dorado,Puerto Rico,646.0,1155.0
1275000.0,4.0,4.0,0.25,1644677.0,Dorado,Puerto Rico,646.0,2900.0
1135000.0,4.0,3.0,0.15,1555726.0,Dorado,Puerto Rico,646.0,2850.0
4995000.0,3.0,4.0,0.22,600936.0,Dorado,Puerto Rico,646.0,3100.0
2500000.0,4.0,4.0,0.25,870230.0,Dorado,Puerto Rico,646.0,3509.0
5950000.0,3.0,5.0,0.23,834192.0,Dorado,Puerto Rico,646.0,3200.0
2849000.0,4.0,5.0,0.21,1136712.0,Dorado,Puerto Rico,646.0,5000.0
850000.0,4.0,2.0,0.21,1222456.0,Dorado,Puerto Rico,646.0,999.0
6495000.0,4.0,4.0,0.15,914459.0,Dorado,Puerto Rico,646.0,6703.0
1300000.0,7.0,4.0,0.37,1463669.0,Dorado,Puerto Rico,646.0,2767.0
6350000.0,3.0,4.0,0.06,1944846.0,Dorado,Puerto Rico,646.0,2500.0
300000.0,4.0,4.0,0.07,,Dorado,Puerto Rico,646.0,3090.0
5900000.0,3.0,4.0,0.09,1521217.0,Dorado,Puerto Rico,646.0,3914.0
1775000.0,4.0,3.0,0.23,1318672.0,Dorado,Puerto Rico,646.0,3337.0
1795000.0,4.0,4.0,0.23,1189361.0,Dorado,Puerto Rico,646.0,2900.0
4600000.0,3.0,3.0,0.37,1628662.0,Dorado,Puerto Rico,646.0,3095.0
1500000.0,3.0,3.0,13.65,1884217.0,Dorado,Puerto Rico,646.0,1942.0
3950000.0,7.0,6.0,0.26,809994.0,Dorado,Puerto Rico,646.0,4800.0
1250000.0,6.0,4.0,0.37,1941881.0,Dorado,Puerto Rico,646.0,1495.0
97900.0,4.0,2.0,0.51,1567906.0,Hatillo,Puerto Rico,659.0,1641.0
58000.0,3.0,1.0,0.05,965293.0,Ponce,Puerto Rico,,790.0
144900.0,4.0,4.0,0.2,597273.0,Hatillo,Puerto Rico,685.0,1760.0
265000.0,3.0,3.0,2.91,1902735.0,Moca,Puerto Rico,676.0,2485.0
99000.0,3.0,1.0,0.15,734101.0,Juana Diaz,Puerto Rico,795.0,800.0
76900.0,3.0,2.0,0.37,1873083.0,Canovanas,Puerto Rico,729.0,1200.0
95000.0,3.0,1.0,0.1,918508.0,Ponce,Puerto Rico,728.0,1100.0
245000.0,4.0,3.0,0.22,1839307.0,Camuy,Puerto Rico,678.0,900.0
225000.0,3.0,3.0,0.72,782285.0,Ponce,Puerto Rico,731.0,2460.0
119000.0,3.0,2.0,0.08,113181.0,Juana Diaz,Puerto Rico,795.0,1084.0
97000.0,4.0,2.0,0.35,1946160.0,Juana Diaz,Puerto Rico,795.0,1918.0
210000.0,4.0,3.0,5.05,1902767.0,Ponce,Puerto Rico,730.0,1520.0
67600.0,4.0,1.0,0.8,1758795.0,Ponce,Puerto Rico,731.0,921.0
